Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
response to thyroid hormone (GO:0097066)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	BRD8
intracellular sterol transport (GO:0032366)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	NPC2
UDP-N-acetylglucosamine metabolic process (GO:0006047)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	GNPNAT1
positive regulation of vascular endothelial cell proliferation (GO:1905564)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	PDPK1
very long-chain fatty acid biosynthetic process (GO:0042761)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	ELOVL1
ERBB signaling pathway (GO:0038127)	2/66	0.10106420113972689	0.2877092299855178	0	0	3.8379270186335406	8.796526075602674	PDPK1;BRAF
protein N-linked glycosylation (GO:0006487)	2/67	0.1036384639561388	0.29421808378659403	0	0	3.7786908743430483	8.565713106424253	DOLPP1;ALG13
pyrimidine nucleoside biosynthetic process (GO:0046134)	1/14	0.10828127992509996	0.29901802695628504	0	0	9.413105413105413	20.925549776333877	DCK
regulation of chromatin organization (GO:1902275)	1/14	0.10828127992509996	0.29901802695628504	0	0	9.413105413105413	20.925549776333877	MKI67
negative regulation of T cell mediated immunity (GO:0002710)	1/14	0.10828127992509996	0.29901802695628504	0	0	9.413105413105413	20.925549776333877	AHR
peptidyl-serine dephosphorylation (GO:0070262)	1/14	0.10828127992509996	0.29901802695628504	0	0	9.413105413105413	20.925549776333877	NCK1
positive regulation of alpha-beta T cell differentiation (GO:0046638)	1/14	0.10828127992509996	0.29901802695628504	0	0	9.413105413105413	20.925549776333877	CBFB
regulation of retinoic acid receptor signaling pathway (GO:0048385)	1/14	0.10828127992509996	0.29901802695628504	0	0	9.413105413105413	20.925549776333877	SNW1
positive regulation of mitochondrial translation (GO:0070131)	1/14	0.10828127992509996	0.29901802695628504	0	0	9.413105413105413	20.925549776333877	TRMT10C
synaptic membrane adhesion (GO:0099560)	1/14	0.10828127992509996	0.29901802695628504	0	0	9.413105413105413	20.925549776333877	GPC4
microvillus organization (GO:0032528)	1/14	0.10828127992509996	0.29901802695628504	0	0	9.413105413105413	20.925549776333877	FXYD5
positive regulation of transmembrane transport (GO:0034764)	1/14	0.10828127992509996	0.29901802695628504	0	0	9.413105413105413	20.925549776333877	BRAF
RNA 3'-end processing (GO:0031123)	2/69	0.1088402211621703	0.29901802695628504	0	0	3.665523315101511	8.129670077854106	RPRD2;SRSF11
positive regulation of protein polymerization (GO:0032273)	2/69	0.1088402211621703	0.29901802695628504	0	0	3.665523315101511	8.129670077854106	ARL2;NCK1
cellular response to light stimulus (GO:0071482)	2/70	0.11146680550341855	0.299736171831353	0	0	3.611435878699306	7.923593030336538	METTL3;DHX36
protein tetramerization (GO:0051262)	2/71	0.11410993058009172	0.299736171831353	0	0	3.5589161940768745	7.724958549605901	ACACA;GLS
cholesterol homeostasis (GO:0042632)	2/71	0.11410993058009172	0.299736171831353	0	0	3.5589161940768745	7.724958549605901	NPC2;CNBP
nucleic acid metabolic process (GO:0090304)	2/71	0.11410993058009172	0.299736171831353	0	0	3.5589161940768745	7.724958549605901	FEN1;METTL3
anterograde synaptic vesicle transport (GO:0048490)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	BLOC1S3
cellular response to arsenic-containing substance (GO:0071243)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	DHX36
cellular response to ATP (GO:0071318)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	HSP90B1
peptidyl-arginine modification (GO:0018195)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	PRMT7
regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	DHX36
endoplasmic reticulum to cytosol transport (GO:1903513)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	HSP90B1
engulfment of apoptotic cell (GO:0043652)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	RAC2
regulation of superoxide anion generation (GO:0032928)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	AATF
positive regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043517)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	EEF1E1
GTP metabolic process (GO:0046039)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	RHOQ
positive regulation of histone H3-K4 methylation (GO:0051571)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	SNW1
histone H3 deacetylation (GO:0070932)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	SMARCAD1
intracellular cholesterol transport (GO:0032367)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	NPC2
positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	DHX36
synaptic vesicle transport along microtubule (GO:0099517)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	BLOC1S3
positive regulation of sprouting angiogenesis (GO:1903672)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	PDPK1
tRNA 5'-end processing (GO:0099116)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	TRMT10C
microvillus assembly (GO:0030033)	1/15	0.11555386663557052	0.299736171831353	0	0	8.740299823633157	18.861728539646954	FXYD5
cell morphogenesis involved in differentiation (GO:0000904)	2/72	0.11676915664319672	0.3011043594947094	0	0	3.507897071872227	7.533406503092571	YTHDF2;METTL3
sterol homeostasis (GO:0055092)	2/72	0.11676915664319672	0.3011043594947094	0	0	3.507897071872227	7.533406503092571	NPC2;CNBP
regulation of mRNA stability (GO:0043488)	3/146	0.11696519639862976	0.3011043594947094	0	0	2.582255244755245	5.541206928229436	YTHDF2;METTL3;DHX36
regulation of actin filament-based process (GO:0032970)	2/73	0.11944404995423179	0.30366124142593254	0	0	3.4583151080395416	7.348598736819862	RAC2;RHOQ
regulation of hydrolase activity (GO:0051336)	2/73	0.11944404995423179	0.30366124142593254	0	0	3.4583151080395416	7.348598736819862	RAB3GAP2;ADAP1
neurotransmitter transport (GO:0006836)	2/73	0.11944404995423179	0.30366124142593254	0	0	3.4583151080395416	7.348598736819862	SLC29A1;GLS
insulin receptor signaling pathway (GO:0008286)	2/73	0.11944404995423179	0.30366124142593254	0	0	3.4583151080395416	7.348598736819862	ATP6V1E2;RHOQ
transcription-coupled nucleotide-excision repair (GO:0006283)	2/73	0.11944404995423179	0.30366124142593254	0	0	3.4583151080395416	7.348598736819862	CDK7;CCNH
apoptotic process (GO:0006915)	4/231	0.12045959210121533	0.30379754613002113	0	0	2.173274596182085	4.599607280428441	BCLAF1;DPF2;AHR;ARHGEF6
sphingolipid biosynthetic process (GO:0030148)	2/74	0.1221341826851661	0.30379754613002113	0	0	3.4101104209799864	7.170217458774195	ELOVL1;CERS2
3'-UTR-mediated mRNA destabilization (GO:0061158)	1/16	0.1227675015182962	0.30379754613002113	0	0	8.157201646090535	17.109428178679863	DHX36
neutrophil activation (GO:0042119)	1/16	0.1227675015182962	0.30379754613002113	0	0	8.157201646090535	17.109428178679863	PREX1
oogenesis (GO:0048477)	1/16	0.1227675015182962	0.30379754613002113	0	0	8.157201646090535	17.109428178679863	METTL3
positive regulation by host of viral transcription (GO:0043923)	1/16	0.1227675015182962	0.30379754613002113	0	0	8.157201646090535	17.109428178679863	SNW1
regulation of rRNA processing (GO:2000232)	1/16	0.1227675015182962	0.30379754613002113	0	0	8.157201646090535	17.109428178679863	YTHDF2
glutamine family amino acid catabolic process (GO:0009065)	1/16	0.1227675015182962	0.30379754613002113	0	0	8.157201646090535	17.109428178679863	GLS
positive regulation of TORC1 signaling (GO:1904263)	1/16	0.1227675015182962	0.30379754613002113	0	0	8.157201646090535	17.109428178679863	TELO2
motor neuron axon guidance (GO:0008045)	1/16	0.1227675015182962	0.30379754613002113	0	0	8.157201646090535	17.109428178679863	RAC2
necroptotic process (GO:0070266)	1/16	0.1227675015182962	0.30379754613002113	0	0	8.157201646090535	17.109428178679863	TRPM7
brain development (GO:0007420)	3/150	0.12407187570581577	0.30628371249116837	0	0	2.5114795918367347	5.241192290355239	CENPF;VPS51;B3GNT5
cellular response to oxygen-containing compound (GO:1901701)	5/323	0.12478053002747412	0.306696138903694	0	0	1.9424209855903192	4.042564310962191	SNW1;DHX36;CDK2;AHR;HSP90B1
positive regulation of immune response (GO:0050778)	2/75	0.12483913286099482	0.306696138903694	0	0	3.363226410278227	6.99796375998247	POLR3B;POLR3F
organelle organization (GO:0006996)	6/420	0.12939482120456938	0.31184601115940036	0	0	1.7929474753069325	3.6663748392816045	CENPW;YTHDF2;POLG2;STX17;VPS51;ARL1
regulation of Golgi organization (GO:1903358)	1/17	0.12992265948743137	0.31184601115940036	0	0	7.6469907407407405	15.606100540038362	MAP2K2
regulation of leukocyte migration (GO:0002685)	1/17	0.12992265948743137	0.31184601115940036	0	0	7.6469907407407405	15.606100540038362	RAC2
establishment of protein localization to endoplasmic reticulum (GO:0072599)	1/17	0.12992265948743137	0.31184601115940036	0	0	7.6469907407407405	15.606100540038362	RAB3GAP2
gliogenesis (GO:0042063)	1/17	0.12992265948743137	0.31184601115940036	0	0	7.6469907407407405	15.606100540038362	METTL3
retrograde protein transport, ER to cytosol (GO:0030970)	1/17	0.12992265948743137	0.31184601115940036	0	0	7.6469907407407405	15.606100540038362	HSP90B1
positive regulation of stem cell differentiation (GO:2000738)	1/17	0.12992265948743137	0.31184601115940036	0	0	7.6469907407407405	15.606100540038362	DHX36
positive regulation of transcription of Notch receptor target (GO:0007221)	1/17	0.12992265948743137	0.31184601115940036	0	0	7.6469907407407405	15.606100540038362	SNW1
purine ribonucleotide metabolic process (GO:0009150)	2/77	0.13029182658029742	0.31184601115940036	0	0	3.273209109730849	6.670729871900639	ACLY;RHOQ
cellular response to UV (GO:0034644)	2/77	0.13029182658029742	0.31184601115940036	0	0	3.273209109730849	6.670729871900639	METTL3;DHX36
import into nucleus (GO:0051170)	2/77	0.13029182658029742	0.31184601115940036	0	0	3.273209109730849	6.670729871900639	IPO13;GEMIN4
peptidyl-serine phosphorylation (GO:0018105)	3/156	0.13501684540565184	0.3161043961563713	0	0	2.412254901960784	4.830192419241067	MAP2K2;PDPK1;CDK2
mRNA 3'-end processing (GO:0031124)	2/79	0.13579886990651258	0.3161043961563713	0	0	3.1878680325885296	6.364834785878127	RPRD2;SRSF11
regulation of adaptive immune response (GO:0002819)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	AHR
base conversion or substitution editing (GO:0016553)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	METTL3
regulation of chromosome segregation (GO:0051983)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	MKI67
regulation of early endosome to late endosome transport (GO:2000641)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	MAP2K2
regulation of presynapse assembly (GO:1905606)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	GPC4
regulation of presynapse organization (GO:0099174)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	GPC4
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	MAP2K2
pigment granule transport (GO:0051904)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	BLOC1S3
regulation of telomere maintenance via telomere lengthening (GO:1904356)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	DHX36
regulation of vascular endothelial cell proliferation (GO:1905562)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	PDPK1
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	SNW1
melanosome transport (GO:0032402)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	BLOC1S3
tRNA metabolic process (GO:0006399)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	YARS2
programmed necrotic cell death (GO:0097300)	1/18	0.13701981164116683	0.3161043961563713	0	0	7.19680464778504	14.304583045111348	TRPM7
regulation of protein localization to plasma membrane (GO:1903076)	2/80	0.13857177807122517	0.31888706433195957	0	0	3.146838668577799	6.219307577720803	PDPK1;RHOQ
Rac protein signal transduction (GO:0016601)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	RAC2
regulation of bicellular tight junction assembly (GO:2000810)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	CBFB
regulation of centriole replication (GO:0046599)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	PLK4
regulation of glucose transmembrane transport (GO:0010827)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	BRAF
regulation of histone H3-K4 methylation (GO:0051569)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	SNW1
regulation of lymphocyte proliferation (GO:0050670)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	AHR
nucleotide-sugar biosynthetic process (GO:0009226)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	GNPNAT1
DNA alkylation (GO:0006305)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	DMAP1
DNA double-strand break processing (GO:0000729)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	SMARCAD1
DNA methylation or demethylation (GO:0044728)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	DMAP1
establishment of melanosome localization (GO:0032401)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	BLOC1S3
regulation of stem cell population maintenance (GO:2000036)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	ZC3H13
fatty acid transmembrane transport (GO:1902001)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	ACACA
response to ATP (GO:0033198)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	HSP90B1
positive regulation of neutrophil chemotaxis (GO:0090023)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	RAC2
maintenance of protein localization in organelle (GO:0072595)	1/19	0.14405942529766833	0.31888706433195957	0	0	6.796639231824417	13.168688257105174	ARL2
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	2/82	0.14415442634184475	0.31888706433195957	0	0	3.067857142857143	5.942040920997805	CDK7;CCNH
positive regulation of cytoskeleton organization (GO:0051495)	2/82	0.14415442634184475	0.31888706433195957	0	0	3.067857142857143	5.942040920997805	PLK4;NCK1
positive regulation of plasma membrane bounded cell projection assembly (GO:0120034)	2/83	0.146963406190071	0.3236161158399344	0	0	3.0298290008434936	5.809914228711731	RAC2;RHOQ
nuclear export (GO:0051168)	2/84	0.14978365848151257	0.3236161158399344	0	0	2.992728374488714	5.6818842669271925	RANBP3;SRSF11
response to insulin (GO:0032868)	2/84	0.14978365848151257	0.3236161158399344	0	0	2.992728374488714	5.6818842669271925	PDPK1;RHOQ
spindle assembly (GO:0051225)	2/84	0.14978365848151257	0.3236161158399344	0	0	2.992728374488714	5.6818842669271925	HAUS3;HAUS1
regulation of lymphocyte differentiation (GO:0045619)	1/20	0.151041964046623	0.3236161158399344	0	0	6.43859649122807	12.17021946242288	METTL3
cortical actin cytoskeleton organization (GO:0030866)	1/20	0.151041964046623	0.3236161158399344	0	0	6.43859649122807	12.17021946242288	RHOQ
nucleobase-containing compound biosynthetic process (GO:0034654)	1/20	0.151041964046623	0.3236161158399344	0	0	6.43859649122807	12.17021946242288	DCK
regulation of nuclear division (GO:0051783)	1/20	0.151041964046623	0.3236161158399344	0	0	6.43859649122807	12.17021946242288	MKI67
endoplasmic reticulum calcium ion homeostasis (GO:0032469)	1/20	0.151041964046623	0.3236161158399344	0	0	6.43859649122807	12.17021946242288	RAP1GDS1
positive regulation of dendrite morphogenesis (GO:0050775)	1/20	0.151041964046623	0.3236161158399344	0	0	6.43859649122807	12.17021946242288	DHX36
granulocyte differentiation (GO:0030851)	1/20	0.151041964046623	0.3236161158399344	0	0	6.43859649122807	12.17021946242288	CDK2
positive regulation of interferon-alpha production (GO:0032727)	1/20	0.151041964046623	0.3236161158399344	0	0	6.43859649122807	12.17021946242288	DHX36
insulin secretion (GO:0030073)	1/20	0.151041964046623	0.3236161158399344	0	0	6.43859649122807	12.17021946242288	SNX19
maintenance of protein location in nucleus (GO:0051457)	1/20	0.151041964046623	0.3236161158399344	0	0	6.43859649122807	12.17021946242288	ARL2
mitochondrial cytochrome c oxidase assembly (GO:0033617)	1/20	0.151041964046623	0.3236161158399344	0	0	6.43859649122807	12.17021946242288	PET117
negative regulation of peptidyl-serine phosphorylation (GO:0033137)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	NCK1
negative regulation of protein localization to cell periphery (GO:1904376)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	RHOQ
negative regulation of protein localization to plasma membrane (GO:1903077)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	RHOQ
negative regulation of response to wounding (GO:1903035)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	CERS2
cellular response to inorganic substance (GO:0071241)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	CDK2
regulation of mitochondrial translation (GO:0070129)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	TRMT10C
rRNA modification (GO:0000154)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	GAR1
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	SNW1
spindle assembly checkpoint signaling (GO:0071173)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	CENPF
linoleic acid metabolic process (GO:0043651)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	ELOVL1
sterol transport (GO:0015918)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	NPC2
melanosome localization (GO:0032400)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	BLOC1S3
positive regulation of smoothened signaling pathway (GO:0045880)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	PDCL
mitotic spindle assembly checkpoint signaling (GO:0007094)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	CENPF
mitotic spindle checkpoint signaling (GO:0071174)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	CENPF
zinc ion transport (GO:0006829)	1/21	0.15796788781347254	0.327470956075799	0	0	6.116358024691358	11.286903902453782	SLC39A7
metal ion transport (GO:0030001)	2/88	0.16117013050323617	0.33343294205325374	0	0	2.8529539217102413	5.207481845883893	TRPM7;NIPA2
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	1/22	0.1648376527934836	0.3335922399107728	0	0	5.824808935920047	10.500931835185957	CENPF
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235)	1/22	0.1648376527934836	0.3335922399107728	0	0	5.824808935920047	10.500931835185957	NCK1
regulation of response to cytokine stimulus (GO:0060759)	1/22	0.1648376527934836	0.3335922399107728	0	0	5.824808935920047	10.500931835185957	CBFB
positive regulation of dendritic spine development (GO:0060999)	1/22	0.1648376527934836	0.3335922399107728	0	0	5.824808935920047	10.500931835185957	DHX36
glutamate metabolic process (GO:0006536)	1/22	0.1648376527934836	0.3335922399107728	0	0	5.824808935920047	10.500931835185957	GLS
positive regulation of granulocyte chemotaxis (GO:0071624)	1/22	0.1648376527934836	0.3335922399107728	0	0	5.824808935920047	10.500931835185957	RAC2
positive regulation of neutrophil migration (GO:1902624)	1/22	0.1648376527934836	0.3335922399107728	0	0	5.824808935920047	10.500931835185957	RAC2
positive regulation of signal transduction by p53 class mediator (GO:1901798)	1/22	0.1648376527934836	0.3335922399107728	0	0	5.824808935920047	10.500931835185957	EEF1E1
mitochondrial calcium ion homeostasis (GO:0051560)	1/22	0.1648376527934836	0.3335922399107728	0	0	5.824808935920047	10.500931835185957	RAP1GDS1
positive regulation of translational initiation (GO:0045948)	1/22	0.1648376527934836	0.3335922399107728	0	0	5.824808935920047	10.500931835185957	YTHDF2
zinc ion transmembrane transport (GO:0071577)	1/22	0.1648376527934836	0.3335922399107728	0	0	5.824808935920047	10.500931835185957	SLC39A7
regulation of actin cytoskeleton organization (GO:0032956)	2/91	0.16981087323573424	0.3393192440360297	0	0	2.756368204340847	4.887233693814411	RAC2;RHOQ
positive regulation of supramolecular fiber organization (GO:1902905)	2/91	0.16981087323573424	0.3393192440360297	0	0	2.756368204340847	4.887233693814411	ARL2;NCK1
regulation of B cell receptor signaling pathway (GO:0050855)	1/23	0.171651711513334	0.3393192440360297	0	0	5.55976430976431	9.797904748253902	CBFB
negative regulation of GTPase activity (GO:0034260)	1/23	0.171651711513334	0.3393192440360297	0	0	5.55976430976431	9.797904748253902	ARL2
negative regulation of reactive oxygen species metabolic process (GO:2000378)	1/23	0.171651711513334	0.3393192440360297	0	0	5.55976430976431	9.797904748253902	AATF
cytoskeleton-dependent intracellular transport (GO:0030705)	1/23	0.171651711513334	0.3393192440360297	0	0	5.55976430976431	9.797904748253902	TUBA1B
DNA methylation (GO:0006306)	1/23	0.171651711513334	0.3393192440360297	0	0	5.55976430976431	9.797904748253902	DMAP1
ERK1 and ERK2 cascade (GO:0070371)	1/23	0.171651711513334	0.3393192440360297	0	0	5.55976430976431	9.797904748253902	MAP2K2
regulation of supramolecular fiber organization (GO:1902903)	1/23	0.171651711513334	0.3393192440360297	0	0	5.55976430976431	9.797904748253902	ARL2
respiratory chain complex IV assembly (GO:0008535)	1/23	0.171651711513334	0.3393192440360297	0	0	5.55976430976431	9.797904748253902	PET117
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	1/23	0.171651711513334	0.3393192440360297	0	0	5.55976430976431	9.797904748253902	DHX36
protein deacylation (GO:0035601)	1/23	0.171651711513334	0.3393192440360297	0	0	5.55976430976431	9.797904748253902	ABHD17A
Wnt signaling pathway (GO:0016055)	2/92	0.1727085214722565	0.3407492450668844	0	0	2.7256038647342997	4.786569097359343	VPS29;GPC4
regulation of translation (GO:0006417)	3/178	0.1777063425673757	0.34753440607737646	0	0	2.106642857142857	3.6394843407950956	EIF5;METTL3;DHX36
cholesterol efflux (GO:0033344)	1/24	0.1784105129450705	0.34753440607737646	0	0	5.317767042404723	9.166065581777534	NPC2
positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846)	1/24	0.1784105129450705	0.34753440607737646	0	0	5.317767042404723	9.166065581777534	SNW1
positive regulation of lamellipodium assembly (GO:0010592)	1/24	0.1784105129450705	0.34753440607737646	0	0	5.317767042404723	9.166065581777534	RAC2
positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	1/24	0.1784105129450705	0.34753440607737646	0	0	5.317767042404723	9.166065581777534	SNW1
protein exit from endoplasmic reticulum (GO:0032527)	1/24	0.1784105129450705	0.34753440607737646	0	0	5.317767042404723	9.166065581777534	HSP90B1
nucleosome organization (GO:0034728)	2/94	0.17852794832741942	0.34753440607737646	0	0	2.6660815554955444	4.593685492215139	ACTR6;DMAP1
protein stabilization (GO:0050821)	3/179	0.17972989449095172	0.349209034543256	0	0	2.0945667613636365	3.5949052284075558	CDK7;CCNH;TELO2
cAMP-mediated signaling (GO:0019933)	1/25	0.18511450243533237	0.3542828117769844	0	0	5.095936213991769	8.595726921868458	AHR
regulation of epidermal cell differentiation (GO:0045604)	1/25	0.18511450243533237	0.3542828117769844	0	0	5.095936213991769	8.595726921868458	CBFB
regulation of interferon-alpha production (GO:0032647)	1/25	0.18511450243533237	0.3542828117769844	0	0	5.095936213991769	8.595726921868458	DHX36
organophosphate ester transport (GO:0015748)	1/25	0.18511450243533237	0.3542828117769844	0	0	5.095936213991769	8.595726921868458	NPC2
divalent inorganic cation homeostasis (GO:0072507)	1/25	0.18511450243533237	0.3542828117769844	0	0	5.095936213991769	8.595726921868458	TRPM7
regulation of neutrophil chemotaxis (GO:0090022)	1/25	0.18511450243533237	0.3542828117769844	0	0	5.095936213991769	8.595726921868458	RAC2
positive regulation of DNA-templated transcription, elongation (GO:0032786)	1/25	0.18511450243533237	0.3542828117769844	0	0	5.095936213991769	8.595726921868458	ELL
RNA splicing, via transesterification reactions (GO:0000375)	1/25	0.18511450243533237	0.3542828117769844	0	0	5.095936213991769	8.595726921868458	SNRNP40
regulation of peptidyl-serine phosphorylation (GO:0033135)	2/98	0.19025445373819214	0.3567721593131708	0	0	2.554477225672878	4.238881301473915	BRAF;NCK1
positive regulation of defense response (GO:0031349)	2/98	0.19025445373819214	0.3567721593131708	0	0	2.554477225672878	4.238881301473915	POLR3B;POLR3F
DNA metabolic process (GO:0006259)	4/277	0.1904076436308125	0.3567721593131708	0	0	1.802842859446633	2.9901735547584045	FEN1;CNBP;CDK2;SMARCAD1
purine-containing compound biosynthetic process (GO:0072522)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	DCK
negative regulation of protein localization to membrane (GO:1905476)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	RHOQ
DNA geometric change (GO:0032392)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	DHX36
regulation of regulatory T cell differentiation (GO:0045589)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	CBFB
regulation of synapse organization (GO:0050807)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	ABHD17A
regulation of telomere maintenance (GO:0032204)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	DHX36
positive regulation of filopodium assembly (GO:0051491)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	RHOQ
positive regulation of glucose import (GO:0046326)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	RHOQ
positive regulation of histone methylation (GO:0031062)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	SNW1
histone lysine demethylation (GO:0070076)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	KDM3B
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	1/26	0.1917641217146227	0.3567721593131708	0	0	4.891851851851852	8.078840476657266	ARL2
