[CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN] was killed by [REACTOME_MITOCHONDRIAL_TRANSLATION,REACTOME_MITOCHONDRIAL_TRANSLATION]
[COLLER_MYC_TARGETS_UP,COLLER_MYC_TARGETS_UP] was killed by [OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP,OUELLET_CULTURED_OVARIAN_CANCER_INVASIVE_VS_LMP_UP]
[BIOCARTA_MAL_PATHWAY,BIOCARTA_MAL_PATHWAY] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION,REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP,BOYAULT_LIVER_CANCER_SUBCLASS_G23_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[MORI_IMMATURE_B_LYMPHOCYTE_DN,MORI_IMMATURE_B_LYMPHOCYTE_DN] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[LEE_LIVER_CANCER_E2F1_UP,LEE_LIVER_CANCER_E2F1_UP] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP,FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_UP] was killed by [KRASNOSELSKAYA_ILF3_TARGETS_UP,KRASNOSELSKAYA_ILF3_TARGETS_UP]
[DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_DN,DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_DN] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[REACTOME_FCGR_ACTIVATION,REACTOME_FCGR_ACTIVATION] was killed by [PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY]
[REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_MISCELLANEOUS_SUBSTRATES,REACTOME_MISCELLANEOUS_SUBSTRATES] was killed by [PIONTEK_PKD1_TARGETS_UP,PIONTEK_PKD1_TARGETS_UP]
[LIU_TOPBP1_TARGETS,LIU_TOPBP1_TARGETS] was killed by [REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES]
[ZHU_CMV_24_HR_UP,ZHU_CMV_24_HR_UP] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
